Dates / التواريخ,Cases / الحالات,Recovered / تعافى,Deaths / الوفيات
02/03/2020,1,0,0
05/03/2020,2,0,0
10/03/2020,2,0,1
11/03/2020,6,0,1
13/03/2020,8,1,1
14/03/2020,18,1,1
15/03/2020,29,1,1
16/03/2020,38,1,2
17/03/2020,44,1,2
18/03/2020,54,1,2
19/03/2020,63,2,2
20/03/2020,79,2,3
21/03/2020,96,3,3
22/03/2020,115,3,4
23/03/2020,143,5,4
24/03/2020,170,6,5
25/03/2020,225,7,6
26/03/2020,275,8,10
27/03/2020,345,11,23
28/03/2020,402,12,25
29/03/2020,479,13,26
30/03/2020,556,15,33
31/03/2020,617,24,36
01/04/2020,654,29,39
02/04/2020,708,31,44
03/04/2020,791,57,48
04/04/2020,919,66,59
05/04/2020,1021,76,70
06/04/2020,1120,81,80
07/04/2020,1184,93,90
08/04/2020,1275,97,93
09/04/2020,1374,109,97
10/04/2020,1448,122,107
11/04/2020,1545,145,111
12/04/2020,1661,177,118
13/04/2020,1763,203,126
14/04/2020,1888,217,126
15/04/2020,2024,229,127
16/04/2020,2283,249,130
17/04/2020,2564,281,135
18/04/2020,2670,298,137
