City / المدينة,Region / المنطقة,Active Cases / الحالات النشطة,Total Deaths / إجمالي الوفيات,Total Recovered / إجمالي المعافين
Aïn Harrouda,Casablanca-Settat,0,0,0
Ben Yakhlef,Casablanca-Settat,0,0,0
Bouskoura,Casablanca-Settat,0,0,0
Casablanca,Casablanca-Settat,14,1,1
Médiouna,Casablanca-Settat,0,0,0
Mohammadia,Casablanca-Settat,0,0,0
Tit Mellil,Casablanca-Settat,0,0,0
Ben Yakhlef,Casablanca-Settat,0,0,0
Bejaâd,Béni Mellal-Khénifra,0,0,0
Ben Ahmed,Casablanca-Settat,0,0,0
Benslimane,Casablanca-Settat,0,0,0
Berrechid,Casablanca-Settat,0,0,0
Boujniba,Béni Mellal-Khénifra,0,0,0
Boulanouare,Béni Mellal-Khénifra,0,0,0
Bouznika,Casablanca-Settat,0,0,0
Deroua,Casablanca-Settat,0,0,0
El Borouj,Casablanca-Settat,0,0,0
El Gara,Casablanca-Settat,0,0,0
Guisser,Casablanca-Settat,0,0,0
Hattane,Béni Mellal-Khénifra,0,0,0
Khouribga,Béni Mellal-Khénifra,1,1,0
Loulad,Casablanca-Settat,0,0,0
Oued Zem,Béni Mellal-Khénifra,0,0,0
Oulad Abbou,Casablanca-Settat,0,0,0
Oulad H'Riz Sahel,Casablanca-Settat,0,0,0
Oulad M'rah,Casablanca-Settat,0,0,0
Oulad Saïd,Casablanca-Settat,0,0,0
Oulad Sidi Ben Daoud,Casablanca-Settat,0,0,0
Ras El Aïn,Casablanca-Settat,0,0,0
Settat,Casablanca-Settat,1,0,0
Sidi Rahhal Chataï,Casablanca-Settat,0,0,0
Soualem,Casablanca-Settat,0,0,0
Azemmour,Casablanca-Settat,0,0,0
Bir Jdid,Casablanca-Settat,0,0,0
Bouguedra,Marrakech-Safi,0,0,0
Echemmaia,Marrakech-Safi,0,0,0
El Jadida,Casablanca-Settat,0,0,0
Hrara,Marrakech-Safi,0,0,0
Ighoud,Marrakech-Safi,0,0,0
Jamâat Shaim,Marrakech-Safi,0,0,0
Jorf Lasfar,Casablanca-Settat,0,0,0
Khemis Zemamra,Casablanca-Settat,0,0,0
Laaounate,Casablanca-Settat,0,0,0
Moulay Abdallah,Casablanca-Settat,0,0,0
Oualidia,Casablanca-Settat,0,0,0
Oulad Amrane,Casablanca-Settat,0,0,0
Oulad Frej,Casablanca-Settat,0,0,0
Oulad Ghadbane,Casablanca-Settat,0,0,0
Safi,Marrakech-Safi,0,0,0
Sebt El Maârif,Casablanca-Settat,0,0,0
Sebt Gzoula,Marrakech-Safi,0,0,0
Sidi Ahmed,Marrakech-Safi,0,0,0
Sidi Ali Ban Hamdouche,Casablanca-Settat,0,0,0
Sidi Bennour,Casablanca-Settat,0,0,0
Sidi Bouzid,Casablanca-Settat,0,0,0
Sidi Smaïl,Casablanca-Settat,0,0,0
Youssoufia,Marrakech-Safi,0,0,0
Fès,Fès-Meknès,6,0,1
Aïn Cheggag,Fès-Meknès,0,0,0
Bhalil,Fès-Meknès,0,0,0
Boulemane,Fès-Meknès,0,0,0
El Menzel,Fès-Meknès,0,0,0
Guigou,Fès-Meknès,0,0,0
Imouzzer Kandar,Fès-Meknès,0,0,0
Imouzzer Marmoucha,Fès-Meknès,0,0,0
Missour,Fès-Meknès,0,0,0
Moulay Yaâcoub,Fès-Meknès,0,0,0
Ouled Tayeb,Fès-Meknès,0,0,0
Outat El Haj,Fès-Meknès,0,0,0
Ribate El Kheir,Fès-Meknès,0,0,0
Séfrou,Fès-Meknès,0,0,0
Skhinate,Fès-Meknès,0,0,0
Tafajight,Fès-Meknès,0,0,0
Arbaoua,Rabat-Salé-Kénitra,0,0,0
Aïn Dorij,Tanger-Tétouan-Al Hoceïma,0,0,0
Dar Gueddari,Rabat-Salé-Kénitra,0,0,0
Had Kourt,Rabat-Salé-Kénitra,0,0,0
Jorf El Melha,Rabat-Salé-Kénitra,0,0,0
Kénitra,Rabat-Salé-Kénitra,1,0,0
Khenichet,Rabat-Salé-Kénitra,0,0,0
Lalla Mimouna,Rabat-Salé-Kénitra,0,0,0
Mechra Bel Ksiri,Rabat-Salé-Kénitra,0,0,0
Mehdia,Rabat-Salé-Kénitra,0,0,0
Moulay Bousselham,Rabat-Salé-Kénitra,0,0,0
Sidi Allal Tazi,Rabat-Salé-Kénitra,0,0,0
Sidi Kacem,Rabat-Salé-Kénitra,0,0,0
Sidi Slimane,Rabat-Salé-Kénitra,1,0,0
Sidi Taibi,Rabat-Salé-Kénitra,0,0,0
Sidi Yahya El Gharb,Rabat-Salé-Kénitra,0,0,0
Souk El Arbaa,Rabat-Salé-Kénitra,0,0,0
Akka,Souss-Massa,0,0,0
Assa,Guelmim-Oued Noun,0,0,0
Bouizakarne,Guelmim-Oued Noun,0,0,0
El Ouatia,Guelmim-Oued Noun,0,0,0
Es-Semara,Laâyoune-Sakia El Hamra,0,0,0
Fam El Hisn,Souss-Massa,0,0,0
Foum Zguid,Souss-Massa,0,0,0
Guelmim,Guelmim-Oued Noun,1,0,0
Taghjijt,Guelmim-Oued Noun,0,0,0
Tan-Tan,Guelmim-Oued Noun,0,0,0
Tata,Souss-Massa,0,0,0
Zag,Guelmim-Oued Noun,0,0,0
Marrakech,Marrakech-Safi,5,0,0
Ait Daoud,Marrakech-Safi,0,0,0
Amizmiz,Marrakech-Safi,0,0,0
Assahrij,Marrakech-Safi,0,0,0
Aït Ourir,Marrakech-Safi,0,0,0
Ben Guerir,Marrakech-Safi,0,0,0
Chichaoua,Marrakech-Safi,0,0,0
El Hanchane,Marrakech-Safi,0,0,0
El Kelaâ des Sraghna,Marrakech-Safi,0,0,0
Essaouira,Marrakech-Safi,0,0,0
Fraïta,Marrakech-Safi,0,0,0
Ghmate,Marrakech-Safi,0,0,0
Ighounane,Drâa-Tafilalet,0,0,0
Imintanoute,Marrakech-Safi,0,0,0
Kattara,Marrakech-Safi,0,0,0
Lalla Takerkoust,Marrakech-Safi,0,0,0
Loudaya,Marrakech-Safi,0,0,0
Lâattaouia,Marrakech-Safi,0,0,0
Moulay Brahim,Marrakech-Safi,0,0,0
Mzouda,Marrakech-Safi,0,0,0
Ounagha,Marrakech-Safi,0,0,0
Sid L'Mokhtar,Marrakech-Safi,0,0,0
Sid Zouin,Marrakech-Safi,0,0,0
Sidi Abdallah Ghiat,Marrakech-Safi,0,0,0
Sidi Bou Othmane,Marrakech-Safi,0,0,0
Sidi Rahhal,Marrakech-Safi,0,0,0
Skhour Rehamna,Marrakech-Safi,0,0,0
Smimou,Marrakech-Safi,0,0,0
Tafetachte,Marrakech-Safi,0,0,0
Tahannaout,Marrakech-Safi,0,0,0
Talmest,Marrakech-Safi,0,0,0
Tamallalt,Marrakech-Safi,0,0,0
Tamanar,Marrakech-Safi,0,0,0
Tamansourt,Marrakech-Safi,0,0,0
Tameslouht,Marrakech-Safi,0,0,0
Tanalt,Souss-Massa,0,0,0
Zeubelemok,Marrakech-Safi,0,0,0
Meknès‎,Fès-Meknès,12,0,0
Khénifra,Béni Mellal-Khénifra,0,0,0
Agourai,Fès-Meknès,0,0,0
Ain Taoujdate,Fès-Meknès,0,0,0
MyAliCherif,Drâa-Tafilalet,0,0,0
Rissani,Drâa-Tafilalet,0,0,0
Amalou Ighriben,Béni Mellal-Khénifra,0,0,0
Aoufous,Drâa-Tafilalet,0,0,0
Arfoud,Drâa-Tafilalet,0,0,0
Azrou,Fès-Meknès,0,0,0
Aïn Jemaa,Fès-Meknès,0,0,0
Aïn Karma,Fès-Meknès,0,0,0
Aïn Leuh,Fès-Meknès,0,0,0
Aït Boubidmane,Fès-Meknès,0,0,0
Aït Ishaq,Béni Mellal-Khénifra,0,0,0
Boudnib,Drâa-Tafilalet,0,0,0
Boufakrane,Fès-Meknès,0,0,0
Boumia,Drâa-Tafilalet,0,0,0
El Hajeb,Fès-Meknès,0,0,0
Elkbab,Béni Mellal-Khénifra,0,0,0
Er-Rich,Béni Mellal-Khénifra,0,0,0
Errachidia,Drâa-Tafilalet,0,0,0
Gardmit,Drâa-Tafilalet,0,0,0
Goulmima,Drâa-Tafilalet,0,0,0
Gourrama,Drâa-Tafilalet,0,0,0
Had Bouhssoussen,Béni Mellal-Khénifra,0,0,0
Haj Kaddour,Fès-Meknès,0,0,0
Ifrane,Fès-Meknès,0,0,0
Itzer,Drâa-Tafilalet,0,0,0
Jorf,Drâa-Tafilalet,0,0,0
Kehf Nsour,Béni Mellal-Khénifra,0,0,0
Kerrouchen,Béni Mellal-Khénifra,0,0,0
M'haya,Fès-Meknès,0,0,0
M'rirt,Béni Mellal-Khénifra,0,0,0
Midelt,Drâa-Tafilalet,0,0,0
Moulay Ali Cherif,Drâa-Tafilalet,0,0,0
Moulay Bouazza,Béni Mellal-Khénifra,0,0,0
Moulay Idriss Zerhoun,Fès-Meknès,0,0,0
Moussaoua,Fès-Meknès,0,0,0
N'Zalat Bni Amar,Fès-Meknès,0,0,0
Ouaoumana,Béni Mellal-Khénifra,0,0,0
Oued Ifrane,Fès-Meknès,0,0,0
Sabaa Aiyoun,Fès-Meknès,0,0,0
Sebt Jahjouh,Fès-Meknès,0,0,0
Sidi Addi,Fès-Meknès,0,0,0
Tichoute,Drâa-Tafilalet,0,0,0
Tighassaline,Béni Mellal-Khénifra,0,0,0
Tighza,Béni Mellal-Khénifra,0,0,0
Timahdite,Fès-Meknès,0,0,0
Tinejdad,Drâa-Tafilalet,0,0,0
Tizguite,Fès-Meknès,0,0,0
Toulal,Fès-Meknès,0,0,0
Tounfite,Drâa-Tafilalet,0,0,0
Zaouia d'Ifrane,Fès-Meknès,0,0,0
Zaïda,Drâa-Tafilalet,0,0,0
Ahfir,l'Oriental,0,0,0
Aklim,l'Oriental,0,0,0
Al Aroui,l'Oriental,0,0,0
Aïn Bni Mathar,l'Oriental,0,0,0
Aïn Erreggada,l'Oriental,0,0,0
Ben Taïeb,l'Oriental,0,0,0
Berkane,l'Oriental,0,0,0
Bni Ansar,l'Oriental,0,0,0
Bni Chiker,l'Oriental,0,0,0
Bni Drar,l'Oriental,0,0,0
Bni Tadjite,l'Oriental,0,0,0
Bouanane,l'Oriental,0,0,0
Bouarfa,l'Oriental,0,0,0
Bouhdila,l'Oriental,0,0,0
Dar El Kebdani,l'Oriental,0,0,0
Debdou,l'Oriental,0,0,0
Douar Kannine,l'Oriental,0,0,0
Driouch,l'Oriental,0,0,0
El Aïoun Sidi Mellouk,l'Oriental,0,0,0
Farkhana,l'Oriental,0,0,0
Figuig,l'Oriental,0,0,0
Ihddaden,l'Oriental,0,0,0
Jaâdar,l'Oriental,0,0,0
Jerada,l'Oriental,0,0,0
Kariat Arekmane,l'Oriental,0,0,0
Kassita,l'Oriental,0,0,0
Kerouna,l'Oriental,0,0,0
Laâtamna,l'Oriental,0,0,0
Madagh,l'Oriental,0,0,0
Midar,l'Oriental,0,0,0
Nador,l'Oriental,1,0,0
Naima,l'Oriental,0,0,0
Oued Heimer,l'Oriental,0,0,0
Oujda,l'Oriental,2,0,0
Ras El Ma,l'Oriental,0,0,0
Saïdia,l'Oriental,0,0,0
